song_id,title,artist,provider,identifier,version,duration_s,access_modality,authorized_computational_access,authorization_basis,result,validation_state,provenance
poker_face_lady_gaga,Poker Face,Lady Gaga,musicbrainz,release:2e38b1e8-5e3e-4fb6-bf37-e367f7fd0c59,album version,237,metadata,false,metadata only,IDENTITY_ONLY,,MusicBrainz release evidence
poker_face_lady_gaga,Poker Face,Lady Gaga,massivemusic_fingerprinting,,target commercial studio recording,,provider VM + internal HTTP,false,explicit bulk-analysis environment but project partner/label whitelist not provisioned,CONDITIONAL_AUTHORIZED_ROUTE,,MassiveMusic Fingerprinting documentation
poker_face_lady_gaga,Poker Face,Lady Gaga,massivemusic_media_transfer,,target commercial studio recording,,licensed media transfer,false,requires project/licensor authorization,CONDITIONAL_AUTHORIZED_ROUTE,,MassiveMusic Media Transfer documentation
poker_face_lady_gaga,Poker Face,Lady Gaga,jamendo_mtg,,target commercial studio recording,,CC/research catalogue,false,no matching released master established,REFERENCE_UNAVAILABLE,AUDIT,MTG-Jamendo catalogue/license review
poker_face_lady_gaga,Poker Face,Lady Gaga,freesound,657681;657679;657685,derivative MuseNet improvisations,24.873;28.777;20.711,API licensed sounds,false,processing license exists for derivative sounds but version identity fails,REFERENCE_UNAVAILABLE,AUDIT,Freesound search and per-sound license evidence
bad_romance_lady_gaga,Bad Romance,Lady Gaga,musicbrainz,release-group:4535cbfb-a9a8-49ac-ac19-8f64d7af3bc7,original/explicit commercial recording,294,metadata,false,metadata only,IDENTITY_ONLY,,MusicBrainz release-group evidence
bad_romance_lady_gaga,Bad Romance,Lady Gaga,massivemusic_fingerprinting,,target commercial studio recording,,provider VM + internal HTTP,false,explicit bulk-analysis environment but project partner/label whitelist not provisioned,CONDITIONAL_AUTHORIZED_ROUTE,,MassiveMusic Fingerprinting documentation
bad_romance_lady_gaga,Bad Romance,Lady Gaga,massivemusic_media_transfer,,target commercial studio recording,,licensed media transfer,false,requires project/licensor authorization,CONDITIONAL_AUTHORIZED_ROUTE,,MassiveMusic Media Transfer documentation
bad_romance_lady_gaga,Bad Romance,Lady Gaga,jamendo_mtg,,target commercial studio recording,,CC/research catalogue,false,no matching released master established,REFERENCE_UNAVAILABLE,AUDIT,MTG-Jamendo catalogue/license review
bad_romance_lady_gaga,Bad Romance,Lady Gaga,freesound,,target commercial studio recording,,API licensed sounds,false,no matching released master established,REFERENCE_UNAVAILABLE,AUDIT,Freesound provider/search review
